Data,Salário mínimo real - R$ (do último mês) - Instituto  de Pesquisa Econômica Aplicada(IPEA) - GAC12_SALMINRE12,
1940.07,867.334272654905,
1940.08,864.912517605604,
1940.09,864.134796288946,
1940.10,850.610095766261,
1940.11,831.485919615117,
1940.12,845.951693575252,
1941.01,824.032430912966,
1941.02,790.135613110523,
1941.03,817.43804377253,
1941.04,807.425961845645,
1941.05,778.166886898268,
1941.06,758.965070611792,
1941.07,770.992554461389,
1941.08,760.797863095903,
1941.09,754.61006059899,
1941.10,765.246993812992,
1941.11,750.315711160887,
1941.12,760.198288916809,
1942.01,767.179623490569,
1942.02,763.362809443357,
1942.03,764.662736094717,
1942.04,729.570399861384,
1942.05,715.967026360536,
1942.06,691.288043217662,
1942.07,671.67512943807,
1942.08,662.989960949633,
1942.09,649.48076111837,
1942.10,657.369191415353,
1942.11,655.533697063573,
1942.12,656.913214814684,
1943.01,644.98106511015,
1943.02,636.076001094821,
1943.03,636.967755953153,
1943.04,617.755558096359,
1943.05,615.294380574062,
1943.06,618.199920198995,
1943.07,749.660361126064,
1943.08,748.238707581659,
1943.09,732.992464323722,
1943.10,703.515178350825,
1943.11,702.671971984443,
1943.12,872.513640342738,
1944.01,789.9625535018,
1944.02,779.703339498375,
1944.03,755.888626917484,
1944.04,751.856743126427,
1944.05,733.485653813485,
1944.06,723.339259630305,
1944.07,725.768172442843,
1944.08,722.050419384793,
1944.09,720.766163861234,
1944.10,682.240422061078,
1944.11,658.67662686437,
1944.12,631.97004280144,
1945.01,625.387047215979,
1945.02,630.005124915924,
1945.03,616.233831850646,
1945.04,622.624623649656,
1945.05,622.624623649656,
1945.06,629.149288249534,
1945.07,624.423401090466,
1945.08,616.233831850646,
1945.09,617.995888353233,
1945.10,603.838042316776,
1945.11,599.483443687845,
1945.12,595.30043973477,
1946.01,579.654292809608,
1946.02,578.103821964833,
1946.03,579.654292809608,
1946.04,573.299104998521,
1946.05,567.180979146667,
1946.06,556.663240213821,
1946.07,548.655989209944,
1946.08,516.901580198548,
1946.09,497.316828528677,
1946.10,479.161573403668,
1946.11,466.408628106754,
1946.12,457.264844780339,
1947.01,432.786983287609,
1947.02,426.243380360396,
1947.03,419.840322591149,
1947.04,418.972121800933,
1947.05,424.902824804681,
1947.06,433.713446075518,
1947.07,451.910570267333,
1947.08,452.857540403167,
1947.09,444.232454594802,
1947.10,440.071650160538,
1947.11,438.227418163424,
1947.12,431.922011967718,
1948.01,425.348523688012,
1948.02,424.256486399981,
1948.03,423.712567827674,
1948.04,422.628903971337,
1948.05,419.943841049028,
1948.06,416.766460158367,
1948.07,415.717991076208,
1948.08,414.155141485696,
1948.09,412.60399863369,
1948.10,411.064431474609,
1948.11,410.044420478394,
1948.12,408.523860204679,
1949.01,404.523626567424,
1949.02,401.087139448526,
1949.03,397.230532338444,
1949.04,393.447384411411,
1949.05,390.195753135284,
1949.06,386.544798719983,
1949.07,385.193243479703,
1949.08,384.297445239053,
1949.09,382.961532914931,
1949.10,380.755533301366,
1949.11,378.574802870086,
1949.12,376.418909915245,
1950.01,375.137120210653,
1950.02,374.287432509157,
1950.03,373.020093572895,
1950.04,373.020093572895,
1950.05,381.634876334394,
1950.06,381.634876334394,
1950.07,371.76130810527,
1950.08,370.926827054529,
1950.09,369.682106158373,
1950.10,366.40332916362,
1950.11,363.581741370281,
1950.12,360.409817781445,
1951.01,353.471446957845,
1951.02,346.431659230173,
1951.03,340.016258133318,
1951.04,335.5287339143,
1951.05,331.158119143873,
1951.06,326.899903962003,
1951.07,325.291144592112,
1951.08,323.698141925157,
1951.09,322.120665599986,
1951.10,319.011392766009,
1951.11,315.659792650989,
1951.12,312.673418075294,
1952.01,956.618658610407,
1952.02,928.532879487504,
1952.03,901.270256082862,
1952.04,895.086583656907,
1952.05,888.987186153283,
1952.06,882.970352406053,
1952.07,879.251016464999,
1952.08,875.562883006673,
1952.09,871.905561022518,
1952.10,864.681819837576,
